Feature Class Element        - Definition
Pipeline ASTM Elbow Manufacture Component - A component used in the manufacture of ASTM elbows.
Pipeline ASTM End Cap Manufacture Component - A component used in the manufacture of ASTM end caps.
Pipeline ASTM Manufacturer    - The manufacturer of ASTM pipeline components.
Pipeline ASTM Material        - The material used in ASTM pipeline components.
Pipeline ASTM Meter Manufacture Component - A component used in the manufacture of ASTM meters.
Pipeline ASTM Pipe Manufacture Component - A component used in the manufacture of ASTM pipes.
Pipeline ASTM Reducer Manufacture Component - A component used in the manufacture of ASTM reducers.
Pipeline ASTM Regulator Manufacture Component - A component used in the manufacture of ASTM regulators.
Pipeline ASTM Saddle Manufacture Component - A component used in the manufacture of ASTM saddles.
Pipeline ASTM Strainer Manufacture Component - A component used in the manufacture of ASTM strainers.
Pipeline ASTM Tee Manufacture Component - A component used in the manufacture of ASTM tees.
Pipeline ASTM Transition Manufacture Component - A component used in the manufacture of ASTM transitions.
Pipeline ASTM Valve Manufacture Component - A component used in the manufacture of ASTM valves.
Pipeline Casing Diameter      - The diameter of the pipeline casing.
Pipeline Casing Fill Type     - The type of fill used in the pipeline casing.
Pipeline Cooling Method       - The method used to cool the gas in the pipeline.
Pipeline Device Status        - The status of devices in the pipeline system.
Pipeline EFV Diameter         - The diameter of excess flow valves in the pipeline.
Pipeline Fitting Diameter     - The diameter of fittings in the pipeline.
Pipeline Girth Weld Type      - The type of girth weld used in the pipeline.
Pipeline Install Method       - The method used to install the pipeline.
Pipeline Length Source        - The source of the length measurement for the pipeline.
Pipeline Life Cycle Status    - The life cycle status of the pipeline.
Pipeline Lining Type          - The type of lining used in the pipeline.
Pipeline Meter Diameter - Customer - The diameter of customer meters in the pipeline.
Pipeline Meter Type           - The type of meter used in the pipeline.
Pipeline Odorant Type         - The type of odorant used in the gas pipeline.
Pipeline Over Pressure Protection Type - The type of over pressure protection used in the pipeline.
Pipeline Pipe Diameter - Customer - The diameter of customer pipes in the pipeline.
Pipeline Pipe Diameter - Distribution - The diameter of distribution pipes in the pipeline.
Pipeline Pipe Diameter - Gathering - The diameter of gathering pipes in the pipeline.
Pipeline Pipe Diameter - Riser - The diameter of riser pipes in the pipeline.
Pipeline Pipe Diameter - Services - The diameter of service pipes in the pipeline.
Pipeline Pipe Diameter - Station - The diameter of station pipes in the pipeline.
Pipeline Pipe Diameter - Transmission - The diameter of transmission pipes in the pipeline.
Pipeline Pipe Outside Diameter - The outside diameter of the pipeline.
Pipeline Pipe Outside Diameter - Riser - The outside diameter of riser pipes in the pipeline.
Pipeline Pipe Outside Diameter - Station - The outside diameter of station pipes in the pipeline.
Pipeline Pipe Outside Diameter - Transmission - The outside diameter of transmission pipes in the pipeline.
Pipeline Pipe Wall Thickness   - The wall thickness of the pipeline.
Pipeline Pipe Wall Thickness - Riser - The wall thickness of riser pipes in the pipeline.
Pipeline Pipe Wall Thickness - Station - The wall thickness of station pipes in the pipeline.
Pipeline Pipe Wall Thickness - Transmission - The wall thickness of transmission pipes in the pipeline.
Pipeline Pipe Wellhead Pressure Rating - The pressure rating of the wellhead in the pipeline.
Pipeline Pipeline Operator Number - The operator number of the pipeline.
Pipeline Pressure Range        - The pressure range of the pipeline.
Pipeline Reducer Fitting Size  - The size of reducer fittings in the pipeline.
Pipeline Regulator Casing Material - The casing material of regulators in the pipeline.
Pipeline Regulatory Type       - The regulatory type of the pipeline.
Pipeline Seam Orientation      - The orientation of seams in the pipeline.
Pipeline Seam Type             - The type of seams in the pipeline.
Pipeline Supplier              - The supplier of the pipeline components.
Pipeline Valve Diameter        - The diameter of valves in the pipeline.
Pipeline Valve Position        - The position of valves in the pipeline.
Pipeline Valve Type            - The type of valves used in the pipeline.
Symbol Rotation                - The rotation of symbols in the pipeline system.
VerticalAlignment              - The vertical alignment of the pipeline.
Yes No                         - A boolean value representing yes or no.
Yes No Not Applicable          - A boolean value representing yes, no, or not applicable.
